LAST SEEN   TYPE      REASON                          OBJECT                                             MESSAGE
6m11s       Normal    Killing                         pod/adaptation-service-fc5f75457-fxl9b             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-g867t             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-g867t to aks-icaptestnode-10971123-vmss00002d
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-g867t             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-g867t             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-g867t             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-g867t             Started container adaptation-service
6m10s       Normal    Killing                         pod/adaptation-service-fc5f75457-g867t             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-h2rh5             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-h2rh5 to aks-icaptestnode-10971123-vmss000020
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-h2rh5             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-h2rh5             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-h2rh5             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-h2rh5             Started container adaptation-service
6m12s       Normal    Killing                         pod/adaptation-service-fc5f75457-h2rh5             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-hpbkd             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-hpbkd to aks-icaptestnode-10971123-vmss00002b
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-hpbkd             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-hpbkd             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-hpbkd             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-hpbkd             Started container adaptation-service
6m9s        Warning   FailedMount                     pod/adaptation-service-fc5f75457-hpbkd             MountVolume.SetUp failed for volume "adaptation-service-sa-token-vhhsk" : secret "adaptation-service-sa-token-vhhsk" not found
6m7s        Normal    Killing                         pod/adaptation-service-fc5f75457-hpbkd             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-j8tr2             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-j8tr2 to aks-icaptestnode-10971123-vmss00001f
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-j8tr2             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
